objectid;region;posicion;sistema_vo;tipo_volca;clasificac;total_fact;total_ries;latitud;longitud;cod_epsg
19;Maule;19;Grupo Descabezado Grande;II;Complejo;9,05103371;185,54619110;-35,5860000009999;-70,7510000000000;4326
20;Biobío;20;Callaqui;II;Complejo;10,90122042;174,41952679;-37,9260000010000;-71,4460000000000;4326
21;La Araucanía;21;Quetrupillán;II;Complejo;13,85433974;166,25207685;-39,4980000010000;-71,7170000000000;4326
22;Tarapacá;22;Parinacota;II;Estratovolcán;11,47391160;160,63476242;-18,1640000010000;-69,1430000000000;4326
23;Maule;23;Planchón - Peteroa;II;Complejo;9,00016815;157,50294271;-35,2410000010000;-70,5740000000000;4326
24;Los Lagos;24;Hornopirén;II;Estratovolcán;15,56685378;155,66853778;-41,8760000010000;-72,4310000000000;4326
25;La Araucanía;25;Lanín;II;Estratovolcán;9,90737593;153,56432691;-39,6390000009999;-71,5010000000000;4326
26;Los Lagos;26;Complejo Antillanca;II;Complejo;12,06203262;138,71337512;-40,7760000009999;-72,1550000000000;4326
27;Maule;27;Laguna del Maule;II;Complejo;8,25075956;136,13753280;-36,0580000010000;-70,5069999999999;4326
28;Aysén del General Carlos Ibáñez del Campo;28;Melimoyu;II;Estratovolcán;10,41274110;135,36563434;-44,0720000009999;-72,8679999999999;4326
29;Metropolitana de Santiago;29;Tupungatito;II;Estratovolcán;9,38977076;122,06701985;-33,4010000009999;-69,8020000000000;4326
30;Tarapacá;30;Guallatiri;II;Complejo;9,28176390;116,02204879;-18,4230000009999;-69,0889999999999;4326
31;Metropolitana de Santiago;31;Maipo;III;Estratovolcán;10,40205999;135,22677989;-34,1660000009999;-69,8280000000000;4326
32;Metropolitana de Santiago;32;San José;III;Estratovolcán;14,91946774;134,27520963;-33,7900000010000;-69,8939999999999;4326
33;Los Lagos;33;Apagado o Huailahué;III;Cono;14,12566792;120,06817736;-41,8840000009999;-72,5889999999999;4326
34;Los Lagos;34;Puntiagudo-Cordón Cenizos;III;Campo volcánico;10,26065065;117,99748251;-40,9730000009999;-72,2689999999999;4326
35;Magallanes y de la Antártica Chilena;35;Isla Decepción;III;Caldera;6,35199862;114,33597520;-62,9590000009999;-60,6369999999999;4326
36;Magallanes y de la Antártica Chilena;36;Monte Burney;III;Estratovolcán;7,00000000;108,50000000;-52,3260000010000;-73,3790000000000;4326
37;Arica y Parinacota;37;Taapaca;III;Complejo;12,04567275;108,41105473;-18,1120000010000;-69,5090000000000;4326
38;Los Lagos;38;Huequi;III;Complejo de domos;8,18399656;102,29995702;-42,3790000010000;-72,5790000000000;4326
39;Aysén del General Carlos Ibáñez del Campo;39;Mentolat;III;Estratovolcán;7,61108878;95,13860974;-44,6950000010000;-73,0790000000000;4326
40;Maule;40;Nevado de Longaví;III;Estratovolcán;10,52769489;94,74925401;-36,1990000009999;-71,1640000000000;4326
41;Antofagasta;41;San Pedro;III;Estratovolcán;8,27541336;91,02954692;-21,8880000010000;-68,3910000000000;4326
